callsign,lat,lon,website,logo
WIVT,42.06091,-75.94297,http://www.newschannel34.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11260/tv
KXOF-CD,27.5203,-99.52226,http://www.mylaredofox.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11699/tv
KPEJ-TV,32.09762,-102.28959,http://www.YourBasin.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/12524/tv
WSTM-TV,42.94501,-76.11842,http://www.CNYCentral.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21252/tv
WTAJ-TV,40.56701,-78.4414,http://wearecentralpa.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/23341/tv
WWUP-TV,46.06002,-84.09918,http://www.9and10news.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/26993/tv
KDBC-TV,31.79622,-106.48304,http://www.cbs4local.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/33764/tv
WTVW,38.02421,-87.36195,http://tristatehomepage.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/3661/tv
WOFL,28.60389,-81.08617,http://www.myfoxorlando.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41225/tv
WCIA,40.10587,-88.45006,http://illinoishomepage.net/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/42124/tv
KCNC-TV,39.73082,-105.23221,http://www.cbsdenver.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/47903/tv
WCCB,35.26736,-80.73424,http://www.wccbcharlotte.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49157/tv
KDFX-CD,33.86613,-116.43473,http://www.kesq.com/kdfx,https://publicfiles.fcc.gov/api/manager/download/entity/logo/51207/tv
KLJB,41.31226,-90.37929,http://www.OurQuadCities.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/54011/tv
WRSP-TV,39.79921,-89.4462,http://www.foxillinois.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/62009/tv
